"_time",bytes,"bytes_in","bytes_out","dest_ip","dest_port",packets,"packets_in","packets_out","src_ip"
"1495501321.000",388612,209616,178996,"10.188.60.18",445,1295,568,727,"10.84.42.134"
"1495500188.000",12270,4756,7514,"10.11.168.180",445,49,23,26,"10.84.42.134"
"1495499712.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499712.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499712.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499695.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499695.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499695.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498906.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498906.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498906.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498897.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498897.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498897.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498884.000",7440,2347,5093,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495498873.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498873.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498873.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498861.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498861.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498861.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498616.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495498613.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498613.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498613.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498610.000",7485,2347,5138,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495492616.000",6531,1822,4709,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495492612.000",6505,1881,4624,"10.11.168.9",445,24,10,14,"10.84.42.134"
"1495491716.000",6531,1822,4709,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495491192.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495491192.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495491192.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495490499.000",6505,1881,4624,"10.11.168.9",445,24,10,14,"10.84.42.134"
