"_time",dest,host,user,Image,EventCode
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:59.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
"2017-03-21T17:15:58.000+0000","Malware-VM3","Malware-VM3","NT AUTHORITY\SYSTEM","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe",1
