"File_Printed","Page_Count",User,"_time","anonymized_Printer"
"document_113",2,alice,"1472118460.000","anon_Printer_9"
"document_4",21,chuck,"1472180379.000","anon_Printer_9"
"document_115",4,chuck,"1472180389.000","anon_Printer_9"
"document_116",2,chuck,"1472189522.000","anon_Printer_9"
"document_117",2,alice,"1472435274.000","anon_Printer_9"
"document_59",2,alice,"1472435274.000","anon_Printer_9"
"document_119",7,chuck,"1472448266.000","anon_Printer_9"
"document_120",1,chuck,"1472454139.000","anon_Printer_9"
"document_121",26,alice,"1472459226.000","anon_Printer_9"
"document_4",26,alice,"1472459226.000","anon_Printer_9"
"document_123",28,alice,"1472459474.000","anon_Printer_9"
"document_124",29,alice,"1472459474.000","anon_Printer_9"
"document_125",29,alice,"1472459515.000","anon_Printer_9"
"document_126",28,alice,"1472459515.000","anon_Printer_9"
"document_127",6,alice,"1472460643.000","anon_Printer_9"
"document_128",6,alice,"1472460643.000","anon_Printer_9"
"document_129",11,alice,"1472460655.000","anon_Printer_9"
"document_130",10,alice,"1472460655.000","anon_Printer_9"
"document_131",22,alice,"1472463308.000","anon_Printer_9"
"document_132",22,alice,"1472463308.000","anon_Printer_9"
"document_133",2,alice,"1472463317.000","anon_Printer_9"
"document_134",2,alice,"1472463317.000","anon_Printer_9"
"document_135",2,alice,"1472463327.000","anon_Printer_9"
"document_136",2,alice,"1472463327.000","anon_Printer_9"
"document_137",3,chuck,"1472474932.000","anon_Printer_9"
"document_138",4,alice,"1472521261.000","anon_Printer_9"
"document_139",4,alice,"1472521261.000","anon_Printer_9"
"document_140",16,chuck,"1472548544.000","anon_Printer_9"
"document_141",10,alice,"1472621884.000","anon_Printer_9"
"document_142",10,alice,"1472621884.000","anon_Printer_9"
"document_143",2,alice,"1472621891.000","anon_Printer_9"
"document_144",2,alice,"1472621891.000","anon_Printer_9"
"document_145",4,alice,"1472621901.000","anon_Printer_9"
"document_4",4,alice,"1472621901.000","anon_Printer_9"
"document_147",12,alice,"1472621924.000","anon_Printer_9"
"document_148",12,alice,"1472621924.000","anon_Printer_9"
"document_149",1,chuck,"1472629321.000","anon_Printer_9"
"document_150",18,chuck,"1472703791.000","anon_Printer_9"
"document_151",2,chuck,"1472703800.000","anon_Printer_9"
"document_152",17,chuck,"1472704759.000","anon_Printer_9"
"document_153",3,chuck,"1472706915.000","anon_Printer_9"
"document_154",3,chuck,"1472707225.000","anon_Printer_9"
"document_155",1,chuck,"1472707389.000","anon_Printer_9"
"document_156",12,alice,"1472709130.000","anon_Printer_9"
"document_157",12,alice,"1472709130.000","anon_Printer_9"
"document_79",2,alice,"1472714101.000","anon_Printer_9"
"document_159",2,alice,"1472714101.000","anon_Printer_9"
"document_160",1,alice,"1472714140.000","anon_Printer_9"
"document_161",2,alice,"1472714159.000","anon_Printer_9"
"document_162",2,alice,"1472714159.000","anon_Printer_9"
"document_163",2,alice,"1472714386.000","anon_Printer_9"
"document_164",2,alice,"1472714386.000","anon_Printer_9"
"document_165",1,alice,"1472714669.000","anon_Printer_9"
"document_166",1,alice,"1472714679.000","anon_Printer_9"
"document_167",3,alice,"1472787897.000","anon_Printer_9"
"document_168",2,alice,"1472787897.000","anon_Printer_9"
"document_169",6,alice,"1472790495.000","anon_Printer_9"
"document_170",6,alice,"1472790495.000","anon_Printer_9"
"document_171",8,alice,"1472790692.000","anon_Printer_9"
"document_172",8,alice,"1472790692.000","anon_Printer_9"
"document_173",6,alice,"1472798361.000","anon_Printer_9"
"document_174",6,alice,"1472798361.000","anon_Printer_9"
"document_175",7,alice,"1472799473.000","anon_Printer_9"
"document_176",6,alice,"1472799473.000","anon_Printer_9"
"document_177",2,alice,"1472799689.000","anon_Printer_9"
"document_178",2,alice,"1472799689.000","anon_Printer_9"
"document_179",7,alice,"1472807137.000","anon_Printer_9"
"document_180",6,alice,"1472807137.000","anon_Printer_9"
"document_181",1,alice,"1472809147.000","anon_Printer_9"
"document_182",12,alice,"1472809166.000","anon_Printer_9"
"document_183",12,alice,"1472809166.000","anon_Printer_9"
"document_184",50,chuck,"1473131868.000","anon_Printer_9"
"document_185",13,alice,"1473139551.000","anon_Printer_9"
"document_186",12,alice,"1473139551.000","anon_Printer_9"
"document_187",4,alice,"1473139781.000","anon_Printer_9"
"document_188",4,alice,"1473139781.000","anon_Printer_9"
"document_189",1,alice,"1473141793.000","anon_Printer_9"
"document_190",12,alice,"1473143627.000","anon_Printer_9"
"document_191",13,alice,"1473143627.000","anon_Printer_9"
"document_192",10,alice,"1473143642.000","anon_Printer_9"
"document_4",11,alice,"1473143642.000","anon_Printer_9"
"document_194",8,alice,"1473143788.000","anon_Printer_9"
"document_195",8,alice,"1473143788.000","anon_Printer_9"
"document_196",2,alice,"1473144601.000","anon_Printer_9"
"document_197",2,alice,"1473144601.000","anon_Printer_9"
"document_198",1,alice,"1473144620.000","anon_Printer_9"
"document_199",1,alice,"1473144633.000","anon_Printer_9"
"document_200",1,alice,"1473144838.000","anon_Printer_9"
"document_201",1,alice,"1473144875.000","anon_Printer_9"
"document_202",1,alice,"1473144928.000","anon_Printer_9"
"document_203",1,alice,"1473144970.000","anon_Printer_9"
"document_204",2,alice,"1473145061.000","anon_Printer_9"
"document_205",2,alice,"1473145061.000","anon_Printer_9"
"document_206",1,alice,"1473146760.000","anon_Printer_9"
"document_207",1,alice,"1473146784.000","anon_Printer_9"
"document_208",13,alice,"1473146814.000","anon_Printer_9"
"document_209",12,alice,"1473146814.000","anon_Printer_9"
"document_210",12,alice,"1473146948.000","anon_Printer_9"
"document_211",13,alice,"1473146948.000","anon_Printer_9"
"document_212",2,chuck,"1473148987.000","anon_Printer_9"
"document_213",3,alice,"1473151828.000","anon_Printer_9"
"document_214",2,alice,"1473151828.000","anon_Printer_9"
"document_215",6,alice,"1473151848.000","anon_Printer_9"
"document_216",7,alice,"1473151848.000","anon_Printer_9"
"document_217",2,alice,"1473151934.000","anon_Printer_9"
"document_218",2,alice,"1473151934.000","anon_Printer_9"
"document_219",5,chuck,"1473222710.000","anon_Printer_9"
"document_220",2,chuck,"1473223420.000","anon_Printer_9"
"document_221",18,alice,"1473303599.000","anon_Printer_9"
"document_222",18,alice,"1473303599.000","anon_Printer_9"
"document_223",52,alice,"1473304844.000","anon_Printer_9"
"document_224",53,alice,"1473304844.000","anon_Printer_9"
"document_225",5,alice,"1473305381.000","anon_Printer_9"
"document_226",4,alice,"1473305381.000","anon_Printer_9"
"document_227",4,chuck,"1473308641.000","anon_Printer_9"
"document_228",10,alice,"1473311337.000","anon_Printer_9"
"document_229",11,alice,"1473311337.000","anon_Printer_9"
"document_230",11,alice,"1473311986.000","anon_Printer_9"
"document_231",10,alice,"1473311986.000","anon_Printer_9"
"document_232",14,alice,"1473313057.000","anon_Printer_9"
"document_233",14,alice,"1473313057.000","anon_Printer_9"
"document_4",1,alice,"1473317905.000","anon_Printer_9"
"chuck_resume-draft1.docx",2,chuck,"1473318711.000","anon_Printer_9"
"chuck_resume-draft4.docx",3,chuck,"1473323265.000","anon_Printer_9"
"chuck_resume-draft5.docx",2,chuck,"1473323700.000","anon_Printer_9"
"document_238",1,alice,"1473410057.000","anon_Printer_9"
"document_239",6,alice,"1473410091.000","anon_Printer_9"
"document_240",6,alice,"1473410091.000","anon_Printer_9"
"chuck_resume.pdf",1,chuck,"1473410365.000","anon_Printer_9"
"document_242",1,chuck,"1473411537.000","anon_Printer_9"
"document_243",1,chuck,"1473411555.000","anon_Printer_9"
"document_244",3,alice,"1473648584.000","anon_Printer_9"
"document_245",2,alice,"1473648584.000","anon_Printer_9"
"document_246",1,alice,"1473648705.000","anon_Printer_9"
"document_247",2,alice,"1473648760.000","anon_Printer_9"
"document_248",2,alice,"1473648760.000","anon_Printer_9"
"document_249",1,alice,"1473648809.000","anon_Printer_9"
"document_250",8,alice,"1473648875.000","anon_Printer_9"
"document_251",8,alice,"1473648875.000","anon_Printer_9"
"document_252",8,alice,"1473648883.000","anon_Printer_9"
"document_253",8,alice,"1473648883.000","anon_Printer_9"
"document_254",8,alice,"1473648894.000","anon_Printer_9"
"document_255",8,alice,"1473648894.000","anon_Printer_9"
"document_256",4,alice,"1473648958.000","anon_Printer_9"
"document_129",5,alice,"1473648958.000","anon_Printer_9"
"document_258",2,alice,"1473648983.000","anon_Printer_9"
"document_259",2,alice,"1473648983.000","anon_Printer_9"
"document_260",2,alice,"1473649236.000","anon_Printer_9"
"document_261",2,alice,"1473649236.000","anon_Printer_9"
"document_262",1,alice,"1473649289.000","anon_Printer_9"
"document_263",4,alice,"1473649469.000","anon_Printer_9"
"document_264",4,alice,"1473649469.000","anon_Printer_9"
"document_265",1,alice,"1473668903.000","anon_Printer_9"
"document_266",2,alice,"1473733940.000","anon_Printer_9"
"document_267",2,alice,"1473733940.000","anon_Printer_9"
"document_268",2,alice,"1473750256.000","anon_Printer_9"
"document_269",2,alice,"1473750256.000","anon_Printer_9"
"document_270",1,chuck,"1473751173.000","anon_Printer_9"
"document_271",2,alice,"1473753086.000","anon_Printer_9"
"document_272",2,alice,"1473753086.000","anon_Printer_9"
"document_273",1,alice,"1473753100.000","anon_Printer_9"
"document_274",1,chuck,"1473755452.000","anon_Printer_9"
