EventCode,EventType,Message,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93203,"1472546211.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93210,"1472546213.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93224,"1472546214.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93219,"1472546214.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93265,"1472546751.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93270,"1472546752.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93438,"1472560074.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,93431,"1472560074.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,134152,"1472584535.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,136008,"1472687413.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,136024,"1472687583.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,136049,"1472689297.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95473,"1473229607.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95468,"1473229607.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104415,"1473231828.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
