EventCode,"_time",sourcetype,tag,user
4624,"1527653616.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527653332.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527651888.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527651658.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527651535.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527651528.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527651515.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4648,"1527651279.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527650886.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527649736.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527649363.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527649351.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527649173.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527647861.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527647815.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527647815.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527646645.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527646535.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527646415.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527644260.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527644260.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527644200.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527644000.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527643953.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527643940.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527643940.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527643940.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527643940.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527642458.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527642301.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
