badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
0,"2018-03-15T21:10:50.871459Z",246,"2018-03-16T04:49:33.966003Z",user2752,"20161117053627.0Z"
0,"2018-03-15T18:22:16.359747Z",402,"2018-02-26T18:27:13.241251Z",user2755,"20161117053335.0Z"
1,"2018-03-08T05:18:54.917132Z",379,"2018-01-29T09:14:04.552362Z",user2787,"20161117005744.0Z"
0,"2018-03-15T17:58:36.140873Z",2465,"2018-02-22T17:01:50.710044Z",user2793,"20161117074256.0Z"
0,"2017-11-16T15:52:56.342029Z",2,"2017-10-19T16:01:32.465103Z",user2798,"20161117053305.0Z"
0,"2018-03-12T15:37:36.551101Z",157,"2018-03-06T17:07:00.208260Z",user2811,"20161117074612.0Z"
0,"2018-03-07T18:25:41.857309Z",176,"2018-02-09T21:59:46.676616Z",user2812,"20161117053252.0Z"
0,"2018-02-22T15:39:51.700691Z",16,"2018-02-22T15:39:51.700691Z",user2821,"20161117053245.0Z"
0,"2018-03-06T23:38:56.403749Z",113,"2018-03-09T17:02:20.595072Z",user2822,"20161117053738.0Z"
0,"2018-03-13T06:55:58.915670Z",194,"2018-03-05T13:56:02.363916Z",user2836,"20161117074407.0Z"
0,"2018-03-16T05:51:19.126986Z",910,"2018-02-06T20:09:42.483400Z",user2838,"20161117074632.0Z"
0,"2018-03-15T14:17:24.054068Z",179,"2018-02-23T17:35:25.278185Z",user2839,"20161117075149.0Z"
1,"2018-03-09T06:42:43.776709Z",192,"2018-01-03T04:34:57.539518Z",user2840,"20161117053441.0Z"
0,"2018-03-05T16:43:54.603600Z",375,"2018-01-02T18:01:50.396450Z",user2841,"20161117074937.0Z"
0,"2018-03-15T16:41:52.644389Z",242,"2018-01-23T16:25:53.534100Z",user2845,"20161117053449.0Z"
0,"2018-03-14T18:06:12.311638Z",1695,"2018-03-05T22:16:45.714431Z",user2846,"20161117075112.0Z"
0,"2018-03-12T08:26:47.198166Z",367,"2018-03-12T08:27:46.978028Z",user2858,"20161117074937.0Z"
0,"2018-01-04T04:16:01.765566Z",29,"2018-01-04T04:16:01.765566Z",user2882,"20161117053508.0Z"
0,"2018-03-15T18:50:52.260595Z",305,"2018-03-05T17:20:42.736318Z",user2885,"20161117074500.0Z"
0,"2018-03-12T14:09:39.552397Z",100,"2018-02-20T17:11:49.861106Z",user2894,"20161117074314.0Z"
0,"2018-03-12T16:52:35.264243Z",154,"2018-03-05T21:22:20.406129Z",user2929,"20161117075112.0Z"
0,"2018-02-07T13:51:12.888460Z",24,"2018-02-07T13:51:11.850969Z",user2947,"20161117053738.0Z"
0,"2018-03-09T18:05:47.701239Z",354,"2018-02-28T13:59:28.601537Z",user2954,"20161117073157.0Z"
0,"2018-03-09T23:49:10.619850Z",603,"2018-03-01T07:17:41.244700Z",user2955,"20161117073034.0Z"
0,"2018-03-09T06:50:24.426930Z",281,"2018-02-13T18:04:40.027657Z",user2958,"20161117074937.0Z"
0,"2018-03-09T15:38:13.557494Z",1453,"2018-02-13T14:05:51.469910Z",user2969,"20161117053607.0Z"
