"USER_ID","USER_VIEWED","_time",country
0053300000B33K5,"ANON_USER_1314","1484833221.093",USA
0053300000B7K31,"ANON_USER_2765","1484833470.081",USA
0053300000B7K31,"ANON_USER_2765","1484833472.827",USA
0053300000B7K31,"ANON_USER_2765","1484833478.193",USA
0053300000B7K31,"ANON_USER_2765","1484833479.972",USA
00540000003B339,"ANON_USER_2962","1484833492.851",USA
0053300000B7K31,"ANON_USER_2765","1484833495.108",USA
0053300000B7730,"ANON_USER_2563","1484833535.799",EMEA
0054000000B2B0B,"ANON_USER_2384","1484833629.341",EMEA
00540000003339B,"ANON_USER_2230","1484833634.056",USA
0053300000B3317,"ANON_USER_2650","1484833926.433",USA
0053300000B3317,"ANON_USER_2650","1484833927.283",USA
0053300000B33K5,"ANON_USER_2374","1484835210.209",USA
0053300000B3137,"ANON_USER_1049","1484835306.827",USA
0053300000BB3B7,"ANON_USER_412","1484835368.014",USA
0053300000B3137,"ANON_USER_1049","1484835425.281",USA
0053300000B33BB,"ANON_USER_2198","1484835507.156",EMEA
0053300000BB3B7,"ANON_USER_412","1484835655.342",USA
005400000032077,"ANON_USER_766","1484835707.241",USA
0053300000B39K0,"ANON_USER_2047","1484835764.094",EMEA
0053300000B39K0,"ANON_USER_2047","1484835794.885",EMEA
0053300000B7730,"ANON_USER_2792","1484835885.802",USA
0053300000B33BB,"ANON_USER_2198","1484835906.667",EMEA
00540000003B339,"ANON_USER_2418","1484836008.868",USA
0054000000B901B,"ANON_USER_412","1484836071.344",USA
0053300000B753K,"ANON_USER_2178","1484836360.765",USA
0053300000B33BB,"ANON_USER_2198","1484836521.818",EMEA
0053300000B9B14,"ANON_USER_1500","1484836525.650",EMEA
0053300000B33BB,"ANON_USER_2198","1484836547.303",EMEA
0054000000B3333,"ANON_USER_2188","1484836656.160",USA
0054000000B9729,"ANON_USER_2507","1484836700.370",EMEA
0053300000B33K5,"ANON_USER_1196","1484836743.420",USA
0053300000B33K5,"ANON_USER_1196","1484836761.031",USA
00533000003KKB7,"ANON_USER_2111","1484836762.297",EMEA
0053300000B33K5,"ANON_USER_1196","1484836764.379",USA
00540000003339B,"ANON_USER_2230","1484836842.666",USA
00540000003B3B9,"ANON_USER_1243","1484836914.583",USA
0053300000B753K,"ANON_USER_2178","1484836990.468",USA
005330000039931,"ANON_USER_2894","1484837442.559",USA
0054000000B3333,"ANON_USER_2188","1484837444.463",USA
005400000030B99,"ANON_USER_716","1484837738.813",USA
0053300000BKK7B,"ANON_USER_2019","1484837886.067",USA
0054000000B2111,"ANON_USER_1550","1484837943.357",USA
0053300000B9B14,"ANON_USER_2000","1484838025.162",USA
0053300000B3317,"ANON_USER_2000","1484838042.770",USA
0053300000B3317,"ANON_USER_2000","1484838043.642",USA
0053300000B9B14,"ANON_USER_2000","1484838059.046",USA
0053300000B9B14,"ANON_USER_2000","1484838285.493",USA
0054000000B2B37,"ANON_USER_2615","1484838420.169",APAC
0053300000B7K57,"ANON_USER_846","1484838490.831",USA
005400000037795,"ANON_USER_34","1484838496.502",USA
0053300000BK347,"ANON_USER_1861","1484838577.056",USA
0053300000B9B14,"ANON_USER_2000","1484838706.947",USA
0053300000B9B14,"ANON_USER_2000","1484838721.790",USA
