"_time",app,bytes,"bytes_in","bytes_out","src_ip","dest_ip","dest_port",packets,"packets_in","packets_out",duration,first
"2016-11-02T12:14:16.000-0700",ping,204,102,102,"10.83.36.160","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:14:16.000-0700",ping,204,102,102,"10.83.160.163","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:14:13.000-0700",ping,204,102,102,"10.83.160.194","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:14:11.000-0700",ping,204,102,102,"10.83.160.105","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:14:08.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:14:05.000-0700",ping,204,102,102,"10.83.160.163","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:14:03.000-0700",ping,204,102,102,"10.83.160.47","192.14.168.88",0,2,1,1,0,192
"2016-11-02T12:13:53.000-0700",ping,204,102,102,"10.83.160.143","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:13:51.000-0700",ping,1224,612,612,"10.83.65.110","56.128.183.238",0,12,6,6,0,56
"2016-11-02T12:13:27.000-0700",ping,1224,612,612,"10.83.84.236","56.128.39.100",0,12,6,6,0,56
"2016-11-02T12:13:26.000-0700",ping,228,114,114,"10.11.168.28","189.125.226.68",0,2,1,1,0,189
"2016-11-02T12:13:25.000-0700",ping,204,102,102,"10.83.36.222","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:13:21.000-0700",ping,204,102,102,"10.83.36.150","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:13:21.000-0700",ping,204,102,102,"10.83.32.25","184.51.102.106",0,2,1,1,0,184
"2016-11-02T12:13:14.000-0700",ping,204,102,102,"10.83.36.71","192.14.168.57",0,2,1,1,1,192
"2016-11-02T12:13:12.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:13:10.000-0700",ping,204,102,102,"10.83.32.51","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:07:24.000-0700",ping,200,98,102,"10.83.32.74","184.51.102.106",0,2,1,1,0,184
"2016-11-02T12:07:24.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:07:24.000-0700",ping,204,102,102,"10.83.36.71","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:07:17.000-0700",ping,204,102,102,"10.83.32.127","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:07:08.000-0700",ping,200,98,102,"10.83.32.51","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:06:44.000-0700",ping,200,98,102,"10.83.36.71","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:06:36.000-0700",ping,200,98,102,"10.83.160.202","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:05:23.000-0700",ping,204,102,102,"10.83.32.123","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:05:20.000-0700",ping,204,102,102,"10.83.160.47","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:05:19.000-0700",ping,204,102,102,"10.83.36.201","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:05:19.000-0700",ping,204,102,102,"10.83.32.132","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:05:18.000-0700",ping,204,102,102,"10.83.160.194","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:05:18.000-0700",ping,204,102,102,"10.83.32.123","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:05:12.000-0700",ping,204,102,102,"10.83.36.69","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:03:31.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:03:03.000-0700",ping,200,98,102,"10.83.160.163","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:03:00.000-0700",ping,200,98,102,"10.83.36.93","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:59:28.000-0700",ping,204,102,102,"10.83.32.74","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:59:18.000-0700",ping,200,98,102,"10.83.36.93","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:59:21.000-0700",ping,228,114,114,"10.11.168.28","185.51.118.52",0,2,1,1,0,185
"2016-11-02T11:59:15.000-0700",ping,204,102,102,"10.83.36.193","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:55:33.000-0700",ping,204,102,102,"10.83.160.128","139.68.67.11",0,2,1,1,0,139
"2016-11-02T11:55:34.000-0700",ping,204,102,102,"10.83.36.160","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:55:33.000-0700",ping,204,102,102,"10.83.160.105","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:55:32.000-0700",ping,204,102,102,"10.83.32.96","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:55:28.000-0700",ping,204,102,102,"10.83.160.202","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:55:21.000-0700",ping,200,98,102,"10.83.32.132","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:55:11.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T11:51:53.000-0700",ping,204,102,102,"10.83.32.121","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:51:47.000-0700",ping,204,102,102,"10.83.36.71","186.61.65.147",0,2,1,1,1,186
"2016-11-02T11:51:41.000-0700",ping,200,98,102,"10.83.32.32","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:51:32.000-0700",ping,200,98,102,"10.83.160.243","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:48:57.000-0700",ping,204,102,102,"10.83.32.74","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:48:52.000-0700",ping,204,102,102,"10.83.160.15","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:48:53.000-0700",ping,204,102,102,"10.83.160.202","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:46:32.000-0700",ping,200,98,102,"10.83.32.74","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:46:28.000-0700",ping,200,98,102,"10.83.160.243","135.248.26.231",0,2,1,1,0,135
"2016-11-02T11:44:24.000-0700",ping,200,98,102,"10.83.36.238","135.248.26.222",0,2,1,1,0,135
"2016-11-02T11:44:26.000-0700",ping,204,102,102,"10.83.160.55","135.248.26.216",0,2,1,1,0,135
"2016-11-02T11:44:20.000-0700",ping,200,98,102,"10.83.160.202","160.51.175.200",0,2,1,1,0,160
