"Account_Domain","Account_Name","Authentication_Package",EventCode,"Key_Length","Logon_Process","Logon_Type","New_Logon_Security_ID","Subject_Security_ID",Type,"_time"
SUBSIDIARY1,"mikkn_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mikkn_jnkmcac","NULL SID",Information,"1456898644.000"
MYDOMAIN,"fnf_pem",NTLM,4624,128,NtLmSsp,3,"MYDOMAIN\fnf_pem","NULL SID",Information,"1456898845.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456898938.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456898996.000"
SUBSIDIARY1,"afdnjaeocfp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\afdnjaeocfp_jnkmcac","NULL SID",Information,"1456899000.000"
SUBSIDIARY1,"oaklefbfda_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oaklefbfda_jnkmcac","NULL SID",Information,"1456899001.000"
SUBSIDIARY1,"oflil_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oflil_jnkmcac","NULL SID",Information,"1456899047.000"
SUBSIDIARY1,"oaahi_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oaahi_jnkmcac","NULL SID",Information,"1456899066.000"
SUBSIDIARY1,"cfebcac_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cfebcac_jnkmcac","NULL SID",Information,"1456899137.000"
SUBSIDIARY1,"mdafj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mdafj_jnkmcac","NULL SID",Information,"1456899182.000"
SUBSIDIARY1,"lfahckb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\lfahckb_jnkmcac","NULL SID",Information,"1456899206.000"
SUBSIDIARY1,"kfjcldhek_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kfjcldhek_jnkmcac","NULL SID",Information,"1456899249.000"
SUBSIDIARY1,"alajh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\alajh_jnkmcac","NULL SID",Information,"1456899251.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456899308.000"
SUBSIDIARY1,"edf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\edf_jnkmcac","NULL SID",Information,"1456899372.000"
SUBSIDIARY1,"mlckb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mlckb_jnkmcac","NULL SID",Information,"1456899381.000"
SUBSIDIARY1,"lcppbae_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\lcppbae_jnkmcac","NULL SID",Information,"1456899388.000"
SUBSIDIARY1,"akhdbcmk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\akhdbcmk_jnkmcac","NULL SID",Information,"1456899452.000"
SUBSIDIARY1,"ebjcihkimn_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ebjcihkimn_jnkmcac","NULL SID",Information,"1456899665.000"
SUBSIDIARY1,"okijc_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\okijc_jnkmcac","NULL SID",Information,"1456899807.000"
SUBSIDIARY1,"aicjfqf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\aicjfqf_jnkmcac","NULL SID",Information,"1456900037.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456900285.000"
SUBSIDIARY1,"knjjcqbcm_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\knjjcqbcm_jnkmcac","NULL SID",Information,"1456900319.000"
SUBSIDIARY1,"fnhalen_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnhalen_jnkmcac","NULL SID",Information,"1456900338.000"
SUBSIDIARY1,"doqaelk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\doqaelk_jnkmcac","NULL SID",Information,"1456900352.000"
SUBSIDIARY1,"aehjoe_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\aehjoe_jnkmcac","NULL SID",Information,"1456900401.000"
SUBSIDIARY1,"fnqqhqp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fnqqhqp_jnkmcac","NULL SID",Information,"1456900407.000"
SUBSIDIARY1,"ilepnolfn_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ilepnolfn_jnkmcac","NULL SID",Information,"1456900565.000"
SUBSIDIARY1,"mlckb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mlckb_jnkmcac","NULL SID",Information,"1456900694.000"
